Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1706509872,1000,,Aggregated,89.500000,30.200000,4300,5800,7700,9900,12000,16000,17000,17000,18000,18000,18000,7545,1481,4300.0,5139.257706765931,1.1892689999513095,17653.181626000332,17572.068257123923
1706509873,1000,,Aggregated,89.900000,30.900000,4400,5800,7800,10000,12000,16000,17000,17000,18000,18000,18000,7632,1507,4400.0,5175.393455183036,1.1892689999513095,17728.977501999907,17502.602594339623
1706509874,1000,,Aggregated,87.000000,27.500000,4400,5800,7900,10000,12000,16000,17000,17000,18000,18000,18000,7722,1538,4400.0,5190.145247398985,1.1892689999513095,17795.91047899976,17465.882025382027
1706509875,1000,,Aggregated,88.400000,28.500000,4500,5900,8000,10000,12000,16000,17000,17000,18000,18000,18000,7797,1550,4500.0,5233.823666336147,1.1892689999513095,17871.306509000533,17433.071822495833
1706509876,1000,,Aggregated,88.500000,29.100000,4500,5900,8000,10000,12000,17000,17000,18000,18000,18000,18000,7874,1574,4500.0,5267.013066934715,1.1892689999513095,17947.027205000268,17376.9856489713
1706509877,1000,,Aggregated,87.300000,27.200000,4600,5900,8100,10000,12000,17000,17000,18000,18000,18000,18000,7949,1586,4600.0,5302.748720785253,1.1892689999513095,17995.089850999648,17369.168448861492
1706509878,1000,,Aggregated,85.000000,24.500000,4600,5900,8300,10000,12000,17000,17000,18000,18000,18000,18000,8026,1599,4600.0,5353.468807553075,1.1892689999513095,18029.066678999698,17315.612384749566
1706509879,1000,,Aggregated,84.000000,23.900000,4600,5900,8600,11000,12000,17000,17000,18000,18000,18000,18000,8114,1627,4600.0,5388.068931118558,1.1892689999513095,18036.868753000817,17232.070988415086
1706509880,1000,,Aggregated,83.100000,22.100000,4700,6000,8600,11000,12000,17000,18000,18000,18000,18000,18000,8194,1640,4700.0,5433.809477828164,1.1892689999513095,18113.62558500059,17215.3419575299
1706509881,1000,,Aggregated,82.400000,22.000000,4700,6000,8700,11000,12000,17000,18000,18000,18000,18000,18000,8258,1648,4700.0,5466.641092372966,1.1892689999513095,18141.54842300013,17202.43279244369
1706509882,1000,,Aggregated,82.800000,22.400000,4700,6000,8900,11000,12000,17000,18000,18000,18000,18000,18000,8330,1665,4700.0,5496.78253588415,1.1892689999513095,18307.539596000424,17175.899039615848
1706509883,1000,,Aggregated,80.300000,20.100000,4800,6000,9000,11000,13000,17000,18000,18000,18000,18000,18000,8410,1687,4800.0,5529.926403410221,1.1892689999513095,18307.539596000424,17136.02544589774
1706509884,1000,,Aggregated,79.800000,20.100000,4900,6100,9100,11000,13000,17000,18000,18000,18000,18000,18000,8478,1695,4900.0,5569.261861811977,1.1892689999513095,18307.539596000424,17121.828615239443
1706509885,1000,,Aggregated,76.100000,16.800000,4900,6100,9400,11000,13000,17000,18000,18000,18000,18000,18000,8550,1704,4900.0,5611.304561801744,1.1892689999513095,18349.108331000025,17100.933684210526
